# columns = ['i', 'j', 'weight', 'delay']
129.0	1.0	0.009	0.0
120.0	1.0	0.009	0.0
119.0	1.0	0.009	0.0
123.0	1.0	0.009	0.0
118.0	1.0	0.009	0.0
117.0	1.0	0.009	0.0
124.0	1.0	0.009	0.0
116.0	1.0	0.009	0.0
115.0	1.0	0.009	0.0
114.0	1.0	0.009	0.0
125.0	1.0	0.009	0.0
113.0	1.0	0.009	0.0
121.0	1.0	0.009	0.0
111.0	1.0	0.009	0.0
126.0	1.0	0.009	0.0
112.0	1.0	0.009	0.0
122.0	1.0	0.009	0.0
109.0	1.0	0.009	0.0
127.0	1.0	0.009	0.0
108.0	1.0	0.009	0.0
105.0	1.0	0.009	0.0
107.0	1.0	0.009	0.0
110.0	1.0	0.009	0.0
106.0	1.0	0.009	0.0
128.0	1.0	0.009	0.0
121.0	2.0	0.009	0.0
104.0	2.0	0.009	0.0
120.0	2.0	0.009	0.0
105.0	2.0	0.009	0.0
119.0	2.0	0.009	0.0
106.0	2.0	0.009	0.0
118.0	2.0	0.009	0.0
111.0	2.0	0.009	0.0
115.0	2.0	0.009	0.0
108.0	2.0	0.009	0.0
114.0	2.0	0.009	0.0
113.0	2.0	0.009	0.0
109.0	2.0	0.009	0.0
112.0	2.0	0.009	0.0
110.0	2.0	0.009	0.0
117.0	2.0	0.009	0.0
107.0	2.0	0.009	0.0
116.0	2.0	0.009	0.0
124.0	2.0	0.009	0.0
127.0	2.0	0.009	0.0
126.0	2.0	0.009	0.0
128.0	2.0	0.009	0.0
122.0	2.0	0.009	0.0
123.0	2.0	0.009	0.0
129.0	2.0	0.009	0.0
125.0	2.0	0.009	0.0
122.0	3.0	0.009	0.0
117.0	3.0	0.009	0.0
107.0	3.0	0.009	0.0
128.0	3.0	0.009	0.0
115.0	3.0	0.009	0.0
125.0	3.0	0.009	0.0
108.0	3.0	0.009	0.0
124.0	3.0	0.009	0.0
113.0	3.0	0.009	0.0
126.0	3.0	0.009	0.0
112.0	3.0	0.009	0.0
